what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335432111825
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335432149074
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335432152662
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1335432154140
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1335432155783
error,log,,,"An exception occurred invoking extension: org.eclipse.jst.jee.ui.web for object P/Hackathon",1335432155784
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335432155923
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335432179052
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335432239412
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.300.v201108240515,"org.eclipse.wst.ws.service.policy.ui",1335432242651
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1335432242652
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1335432242662
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1335432242662
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335432244764
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1335432264689
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335432264704
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1335432265726
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1335432267770
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335432269664
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335432396196
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1335432398628
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335432403167
started,bundle,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.ui",1335432408424
started,bundle,org.eclipse.wst.html.core,1.1.502.v201202091936,"org.eclipse.wst.html.core",1335432408478
started,bundle,org.eclipse.wst.css.core,1.1.501.v201111292150,"org.eclipse.wst.css.core",1335432408530
started,bundle,org.eclipse.wst.jsdt.web.ui,1.0.401.v201108152113,"org.eclipse.wst.jsdt.web.ui",1335432408540
started,bundle,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.ui",1335432408541
started,bundle,org.eclipse.wst.jsdt.web.core,1.0.401.v201108152113,"org.eclipse.wst.jsdt.web.core",1335432408861
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.newWizard",1335432425721
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335432425743
started,bundle,org.eclipse.wst.jsdt.web.support.jsp,1.0.400.v201102241833,"org.eclipse.wst.jsdt.web.support.jsp",1335432425842
opened,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1335432425916
started,bundle,org.eclipse.wst.jsdt.debug.ui,1.0.101.v201201112313,"org.eclipse.wst.jsdt.debug.ui",1335432426031
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1335432426033
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335432436479
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335432447909
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335432455483
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335432461401
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1335432464998
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335432466501
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335432477136
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1335432483588
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1335432484964
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335432506705
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335432522084
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335432560501
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335432562523
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1335432571060
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1335432572232
started,bundle,org.eclipse.jst.jsf.facelet.ui,1.0.1.v201104032306,"org.eclipse.jst.jsf.facelet.ui",1335432574901
started,bundle,org.eclipse.jst.jsf.ui,1.3.2.v201104251204,"org.eclipse.jst.jsf.ui",1335432574905
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1335432578553
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1335432584700
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1335432585147
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1335432593695
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335432598091
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335432686806
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1335432689224
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1335432689306
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1335432689313
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1335432691694
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1335432693656
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1335432846025
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.200.v201101281837,"org.eclipse.wst.xsl.debug.ui",1335432853917
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335432857034
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335432930459
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1335432931233
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1335432933223
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335432934919
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335433062811
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335433064850
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335433065342
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1335433074863
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335433078289
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.newWizard",1335433082813
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335433082824
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk",1335433090036
started,bundle,org.eclipse.equinox.p2.ui,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.ui",1335433090038
started,bundle,org.eclipse.ecf.identity,3.1.100.v20110531-2218,"org.eclipse.ecf.identity",1335433090068
started,bundle,org.eclipse.ecf,3.1.300.v20110531-2218,"org.eclipse.ecf",1335433090076
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,4.0.0.v20110531-2218,"org.eclipse.ecf.provider.filetransfer.httpclient",1335433090086
started,bundle,org.eclipse.ecf.provider.filetransfer,3.2.0.v20110531-2218,"org.eclipse.ecf.provider.filetransfer",1335433090088
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335433090219
